"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000186594",1264.85927717383,-1.58605205129774,0.152207790058786,9.47365619116796e-26,1.4766546715364e-24
"ENSG00000187185",31.9576516767609,-1.34864903029053,0.253333270345433,5.72688361272338e-08,1.78820927613398e-07
"ENSG00000187621",21.449612438672,1.93607960769038,0.308693810740666,4.83119550328579e-09,1.72551291449859e-08
"ENSG00000188511",139.368923981245,-1.09104904942622,0.197845104949845,2.26108121368148e-08,7.42815683944843e-08
"ENSG00000188660",2.61818854362464,2.74620139222806,0.403243380063887,4.51645410125262e-13,2.43024209425751e-12
"ENSG00000189149",20.4876964597286,1.4458533339247,0.160834508397045,7.78993237494549e-20,7.74402982715551e-19
"ENSG00000189229",51.2339926209977,4.89411158262532,0.295704895575457,1.55242786178685e-62,1.89462259898071e-60
"ENSG00000196243",13.6396122215255,8.06607638146274,0.950214032407604,1.43109912702255e-29,2.79210360292562e-28
"ENSG00000196366",19.6725556081088,1.30674141421031,0.165809338263917,1.14484176694319e-15,7.94052282368337e-15
"ENSG00000196668",71.8495596151793,2.1176037407182,0.217097494350037,1.75376308029502e-23,2.30171936677701e-22
"ENSG00000196756",1870.45629359331,1.39778651450778,0.121217147437337,2.63370405609677e-31,5.85539785495002e-30
"ENSG00000197085",23.1994131233818,7.33577443635469,0.566488046768702,8.84731422084034e-61,1.03567743613756e-58
"ENSG00000197308",3.55925631477603,2.54315571057169,0.391134365221598,3.89890973218208e-08,1.24172959548565e-07
"ENSG00000198685",0.75801323267496,-1.26101240312761,0.329783489684328,8.58324714461389e-05,0.000183160363175243
"ENSG00000198788",57.8842500131867,5.60840806609724,0.429053628778654,3.26429994881492e-21,3.63573291386455e-20
"ENSG00000203645",3.62564795509615,4.6011736492299,0.372267652753919,3.15052173874094e-13,1.72108501842077e-12
"ENSG00000203650",103.231192897452,2.80466713002216,0.267108657504698,3.12135264995477e-27,5.23511076027502e-26
"ENSG00000203688",16.72391362605,1.93684333880153,0.312981795494248,7.32827649077722e-08,2.2660374097627e-07
"ENSG00000203709",215.87562407337,-1.49275064601981,0.209453764672929,5.60350297655063e-13,2.99043927526402e-12
"ENSG00000203721",19.2422395006204,1.80622965277343,0.213453658033414,4.19569444400268e-18,3.61902305726306e-17
"ENSG00000203804",12.8726237002303,-1.5042086400656,0.221147789665797,5.53988102944884e-12,2.67256161353394e-11
"ENSG00000203809",0.719514269512496,2.5783629868248,0.681045045949882,0.00270708733949114,0.00470398454387191
"ENSG00000204110",2.42364944593028,-1.0469635617307,0.287012982175774,0.000161499956556128,0.00033191105367465
"ENSG00000204277",14.6182811558473,1.26794024178507,0.245723779764391,8.63208932466816e-08,2.65204415459542e-07
"ENSG00000204362",21.376301184032,5.45557395350322,0.441481455688524,5.76100637745482e-34,1.50205148095822e-32
"ENSG00000204460",19.272868933095,8.17294836708608,0.923609826421466,4.14329612048884e-22,4.90019516435546e-21
"ENSG00000204625",3.67749366046129,-1.16072413488516,0.196704039119053,2.20476288905089e-09,8.1643124154912e-09
"ENSG00000204661",3.43699900940682,1.96419138441648,0.287430743486668,5.73955395725061e-11,2.48656204673637e-10
"ENSG00000204666",10.1848759463123,-1.72294031777564,0.268003630649957,6.04514859054782e-11,2.60910250680077e-10
"ENSG00000205037",7.45289041694914,-1.76797055693457,0.272066878071181,3.70511719590548e-11,1.64112372476555e-10
"ENSG00000205106",11.6737839516856,-1.04129775796048,0.207502432485089,3.3444426299651e-07,9.62072363364083e-07
"ENSG00000205181",137.963902684432,-1.26081604965085,0.166148654263672,1.91175253962374e-14,1.17785312215701e-13
"ENSG00000205293",13.9744875381758,2.4612470316287,0.420520686622369,0.000835921669819339,0.00155072661645657
"ENSG00000205325",17.5163672925727,5.3958219691948,0.500301199782735,1.61410207943423e-29,3.12786808366038e-28
